taxon_id	scientific_name	vernacular_name_en	vernacular_name_fi	taxon_rank	is_bird
MX.51115	Canis	Dogs, Wolves, Coyotes, Jackals	koirat	genus	False
MX.73542	Aquila nipalensis	Steppe Eagle	arokotka	species	True
MX.73545	Carduelis hornemanni	Arctic Redpoll	tundraurpiainen	species	True
MX.73566	Corvus corone	Carrion Crow	varis	species	True
MX.73583	Larus cachinnans	Caspian Gull	aroharmaalokki	species	True
MX.73584	Larus michahellis	Yellow-legged Gull	etelänharmaalokki	species	True
MX.200001	Saxicola maurus	Siberian Stonechat	sepeltasku	species	True
MX.291296	Canis lupus familiaris	dog	koira	subspecies	False
MX.293126	Emberizidae	Old World Buntings	sirkut	family	True
MX.5013225	Anser/Branta		harmaa-/kirjohanhi	speciesAggregate	True
